date,temperature,humidity,soil_humidity,ph,water_quantity
26/12/2020,4.82,46.78,95.19,0.35,3.64
09/08/2019,7.58,47.88,13.45,6.91,900.46
27/05/2019,92.77,52.72,81.68,8.5,786.92
12/04/2020,-24.48,43.45,25.35,11.06,671.26
04/02/2019,122.28,28.69,47.52,9.66,818.77
30/01/2018,119.3,71.12,13.42,0.68,743.91
02/05/2020,-36.93,66.12,5.71,9.77,72.85
14/08/2021,71.97,91.51,36.19,2.6,78.21
14/06/2020,-30.56,13.43,80.48,12.03,765.43
23/10/2018,122.86,16.68,42.77,13.57,887.95
29/03/2018,87.43,36.29,77.85,3.9,498.23
15/08/2018,-8.95,82.59,88.45,10.01,490.23
14/01/2019,123.52,77.76,16.77,13.68,246.42
15/03/2021,122.4,84.22,40.2,2.09,561.09
02/12/2021,116.06,15.63,35.17,3.94,820.63
26/10/2018,-11.52,54.72,70.92,7.07,683.27
10/09/2021,113.71,81.21,98.4,10.41,239.23
16/05/2021,-18.99,43.42,38.11,9.66,959.86
24/01/2019,78.7,63.25,35.19,12.08,508.65
09/03/2018,71.69,21.14,66.33,10.52,261.47
19/12/2020,122.92,97.78,69.64,8.89,947.33
09/12/2019,54.29,17.91,81.71,10.6,398.27
21/04/2020,-38.2,6.16,5.27,9.94,890.48
09/07/2019,10.79,61.03,29.58,7.88,145.81
30/06/2019,118.4,30.25,61.99,1.66,589.43
22/08/2021,75.32,61.21,97.14,0.8,655.99
04/03/2018,121.3,80.2,69.41,13.72,779.33
11/08/2019,-20.73,38.55,45.41,2.66,654.89
10/02/2021,53.05,72.49,63.53,9.79,232.22
20/01/2019,-2.76,28.73,94.55,7.19,969.03
31/07/2020,91.56,88.5,81.91,8.16,430.76
16/07/2018,-16.56,63.84,52.73,7.93,157.7
13/06/2018,66.74,38.65,39.51,4.12,919.51
09/07/2019,-23.02,67.44,85.66,12.67,599.18
04/07/2020,74.01,97.03,48.48,7.47,305.19
06/09/2019,57.89,48.72,54.13,6.44,810.81
17/01/2019,90.03,7.14,4.05,8.4,621.6
