date,temperature,humidity,soil_humidity,ph,water_quantity
17/03/2022,113.13,92.27,54.46,3.47,304.01
20/06/2024,-8.06,25.19,37.9,11.1,10.99
26/07/2022,0.71,97.36,36.58,4.65,740.97
24/07/2024,-25.92,83.74,49.7,1.0,134.33
13/01/2022,11.76,55.94,4.01,5.19,716.37
28/07/2022,105.83,92.7,19.36,5.17,597.43
30/12/2021,39.17,31.59,78.63,6.41,509.11
18/10/2024,-19.51,34.87,65.68,5.86,694.88
06/10/2021,-4.15,66.58,81.77,1.76,804.04
06/08/2024,42.99,97.07,70.5,3.84,617.24
14/06/2022,103.48,24.99,79.06,6.93,899.51
15/05/2023,27.16,40.52,53.56,10.68,856.85
06/05/2023,-25.68,72.45,54.42,9.3,784.19
24/04/2023,65.33,73.35,86.91,10.57,331.39
22/07/2023,97.69,20.28,26.63,5.66,554.21
10/07/2021,83.85,10.1,54.69,13.35,10.89
07/12/2024,50.24,62.26,5.97,1.6,609.38
20/01/2021,72.16,79.84,64.28,1.51,773.13
16/05/2022,74.72,27.36,29.31,11.8,725.8
16/12/2024,99.15,43.13,77.98,2.64,433.0
16/12/2024,93.29,2.75,85.01,1.48,525.02
10/02/2023,42.48,4.58,92.35,8.12,103.85
19/05/2024,56.96,3.93,71.98,7.67,250.24
09/01/2021,89.94,41.36,29.07,5.49,440.37
11/05/2023,84.14,88.9,95.98,12.99,957.62
13/03/2024,64.1,81.54,50.29,8.73,14.42
12/08/2022,10.31,36.84,11.4,1.79,552.77
07/09/2021,34.61,43.62,95.97,13.43,371.81
16/06/2024,72.64,80.1,69.66,6.89,350.86
07/12/2024,5.19,24.93,57.32,8.56,812.16
05/05/2021,35.75,55.68,98.52,1.6,911.47
12/09/2022,65.96,62.4,65.32,5.01,289.71
02/07/2022,25.16,62.67,27.17,13.62,586.78
10/10/2021,-29.81,17.21,12.64,8.61,378.33
13/11/2023,46.2,72.69,78.3,0.62,944.69
